ecosystem,config_cluster,entropy,entropy_normalized,num_projects,num_options
0,0,2.1972245773362196,1.0,2,9
0,2,1.7917594692280547,0.8154648767857285,1,9
0,1,1.3862943611198906,0.6309297535714574,1,9
1,0,6.430890516876948,0.9996813936034404,3,622
1,1,1.945910149055313,0.3024915701067464,1,622
1,3,1.945910149055313,0.3024915701067464,1,622
1,2,1.6094379124341005,0.2501869890333136,1,622
2,1,4.298727082229078,0.8979079888148396,23,120
2,2,4.0252499293799495,0.8407847252057813,6,120
2,0,3.3339054063374873,0.696378309448557,3,120
2,5,2.8370993812038137,0.5926066369683501,2,120
2,3,1.3862943611198906,0.28956590122791626,1,120
2,4,1.0986122886681096,0.22947554746688673,1,120
