project_name,total_contributors,num_core_contributors,num_config_contributors,num_config_core,num_config_non_core,pct_config_are_core,total_config_commits,config_commits_by_core,config_commits_by_non_core,pct_config_commits_by_core
1Panel,78,2,25,2,23,8.0,699,629,70,89.9856938483548
3x-ui,112,5,63,5,58,7.936507936507936,411,282,129,68.61313868613139
APIJSON,81,1,15,1,14,6.666666666666667,297,279,18,93.93939393939394
AdGuardHome,104,6,40,6,34,15.0,1145,955,190,83.4061135371179
AdminLTE,114,4,19,4,15,21.052631578947366,467,434,33,92.93361884368309
Aerial,60,2,9,2,7,22.22222222222222,271,233,38,85.97785977859779
AgentGPT,71,2,35,2,33,5.714285714285714,329,263,66,79.93920972644378
Alamofire,278,7,16,4,12,25.0,193,181,12,93.78238341968913
AnotherRedisDesktopManager,39,1,4,1,3,25.0,220,217,3,98.63636363636363
Anuken_Mindustry,722,13,567,13,554,2.2927689594356258,9064,6457,2607,71.2378640776699
Apktool,116,2,29,2,27,6.896551724137931,396,336,60,84.84848484848484
Apollo-11,200,86,3,1,2,33.33333333333333,31,29,2,93.54838709677419
AppFlowy-IO_AppFlowy,375,7,254,7,247,2.7559055118110236,3114,2506,608,80.4752729608221
ArchiveBox,134,1,29,1,28,3.4482758620689653,950,847,103,89.15789473684211
Avalonia,529,10,91,10,81,10.989010989010989,1768,1455,313,82.29638009049773
BabylonJS_Babylon.js,654,17,191,17,174,8.900523560209423,7070,6098,972,86.25176803394625
Bend,47,3,13,3,10,23.076923076923077,289,234,55,80.96885813148789
Bilibili-Evolved,71,2,17,2,15,11.76470588235294,1979,1922,57,97.11975745325923
BitNet,14,6,2,2,0,100.0,2,2,0,100.0
Budibase_budibase,119,9,70,9,61,12.857142857142856,16308,12768,3540,78.29286239882266
CasaOS,25,2,11,2,9,18.181818181818183,187,140,47,74.8663101604278
Catch2,418,2,21,2,19,9.523809523809524,144,103,41,71.52777777777779
Chart.js,514,14,51,12,39,23.52941176470588,571,522,49,91.41856392294221
Charts,186,4,11,4,7,36.36363636363637,93,86,7,92.47311827956989
Chat2DB,47,4,20,4,16,20.0,1103,996,107,90.29918404351768
ChatTTS,55,6,3,1,2,33.33333333333333,35,33,2,94.28571428571428
ChromeAppHeroes,4,1,2,1,1,50.0,145,135,10,93.10344827586206
Clash-for-Windows_Chinese,3,1,2,1,1,50.0,35,22,13,62.857142857142854
CodeEdit,140,13,28,10,18,35.714285714285715,266,230,36,86.46616541353383
ColossalAI,196,28,52,23,29,44.230769230769226,411,362,49,88.07785888077859
ComfyUI,226,5,22,5,17,22.727272727272727,216,181,35,83.79629629629629
CopilotKit_CopilotKit,115,6,29,6,23,20.689655172413794,1249,1133,116,90.71257005604484
CyberChef,200,8,109,8,101,7.339449541284404,1615,1358,257,84.08668730650155
CymChad_BaseRecyclerViewAdapterHelper,48,4,22,4,18,18.181818181818183,328,273,55,83.23170731707317
Dapper,224,12,12,5,7,41.66666666666667,224,211,13,94.19642857142857
Deep-Live-Cam,51,3,11,2,9,18.181818181818183,27,16,11,59.25925925925925
DeepSeek-V3,26,13,4,4,0,100.0,4,4,0,100.0
DeepSpeech,150,5,26,4,22,15.384615384615385,722,680,42,94.18282548476455
DeepSpeed,390,50,51,31,20,60.78431372549019,431,410,21,95.1276102088167
DoKit,140,18,62,18,44,29.03225806451613,600,497,103,82.83333333333334
Docker-OSX,55,3,17,3,14,17.647058823529413,236,203,33,86.01694915254238
Dokploy_dokploy,231,9,102,9,93,8.823529411764707,1593,1301,292,81.66980539861896
Ehviewer_CN_SXJ,16,2,14,2,12,14.285714285714285,186,147,39,79.03225806451613
ExplorerPatcher,13,2,5,2,3,40.0,42,38,4,90.47619047619048
FFmpeg,2097,38,26,14,12,53.84615384615385,83,50,33,60.24096385542169
FastChat,243,73,34,23,11,67.64705882352942,137,126,11,91.97080291970804
FastGPT,144,4,56,4,52,7.142857142857142,936,801,135,85.57692307692307
Files,295,15,33,12,21,36.36363636363637,300,259,41,86.33333333333333
FiraCode,128,14,8,1,7,12.5,27,20,7,74.07407407407408
FlClash,2,1,2,1,1,50.0,131,130,1,99.23664122137404
Flowise,239,12,102,12,90,11.76470588235294,1133,961,172,84.81906443071492
Folo,139,3,68,3,65,4.411764705882353,1514,1268,246,83.75165125495376
FreeTubeApp_FreeTube,657,69,594,69,525,11.616161616161616,6597,5175,1422,78.44474761255115
GPT-SoVITS,97,11,22,9,13,40.909090909090914,110,89,21,80.9090909090909
GSAP,3,2,2,2,0,100.0,104,104,0,100.0
GSYVideoPlayer,25,1,4,1,3,25.0,341,313,28,91.78885630498533
Genesis,63,11,15,8,7,53.333333333333336,84,73,11,86.90476190476191
GoogleChrome_lighthouse,362,8,139,8,131,5.755395683453238,2495,2032,463,81.44288577154309
GyulyVGC_sniffnet,67,1,16,1,15,6.25,662,588,74,88.82175226586104
HanLP,49,1,4,1,3,25.0,102,99,3,97.05882352941177
HandBrake,140,6,22,5,17,22.727272727272727,681,604,77,88.69309838472834
HikariCP,156,1,25,1,24,4.0,566,520,46,91.87279151943463
HumanSignal_label-studio,148,13,63,13,50,20.634920634920633,2638,2331,307,88.36239575435937
Hyprland,487,13,44,5,39,11.363636363636363,304,240,64,78.94736842105263
ILSpy,148,4,18,3,15,16.666666666666664,352,298,54,84.6590909090909
IOPaint,23,1,5,1,4,20.0,137,122,15,89.05109489051095
Ice,12,1,1,1,0,100.0,40,40,0,100.0
