Technology,Total Commits,Num Contributors,Gini Coefficient,Effective Num Contributors,Top Contributor,Top Contributor %,Risk Level
poetry,24.28,1,1.0,1.0,Sébastien Eustace <sebastien@eustace.io>,100.0,High
github-action,367.91,71,0.874,4.58,Sébastien Eustace <sebastien@eustace.io>,39.59,Low
github issues,89.38,66,0.856,5.97,Sébastien Eustace <sebastien@eustace.io>,27.16,Low
mypy,37.14,25,0.849,2.2,Sébastien Eustace <sebastien@eustace.io>,65.36,Medium
appveyor,58.36,13,0.847,1.43,Sébastien Eustace <sebastien@eustace.io>,83.19,High
dependabot,46.41,53,0.83,3.35,Sébastien Eustace <sebastien@eustace.io>,52.31,Low
cirrus,47.11,61,0.828,3.45,Sébastien Eustace <sebastien@eustace.io>,51.53,Low
pre-commit,98.84,80,0.824,3.8,Sébastien Eustace <sebastien@eustace.io>,49.13,Low
mkdocs,40.53,31,0.821,2.6,Sébastien Eustace <sebastien@eustace.io>,59.9,Low
github,47.67,62,0.82,3.54,Sébastien Eustace <sebastien@eustace.io>,50.93,Low
tox,49.36,51,0.804,3.78,Sébastien Eustace <sebastien@eustace.io>,49.19,Low
