cluster_id,num_projects,top_options
35,8,permissions.contents=read:4; on.push.branches=main:4; jobs.build.steps.uses=actions/checkout@v4:3; jobs.build.runs-on=ubuntu-latest:3; name=build:2; jobs.dependency-review.steps.name=Checkout Repository:2; jobs.build.steps.name=Set up Python ${{ matrix.python-version }}:2; jobs.build.steps.name=Install optional test requirements:2; jobs.build.steps.uses=actions/checkout@v2:2; jobs.build_wheels.steps.env.CIBW_BEFORE_BUILD=git submodule update --init --recursive && pip install .:2
36,3,jobs.publish.steps.env.NODE_AUTH_TOKEN=${{ secrets.NPM_TOKEN }}:3; jobs.publish.steps.uses=actions/checkout@v4:3; jobs.publish.runs-on=ubuntu-latest:3; jobs.publish.steps.uses=actions/setup-node@v4:3; jobs.publish.steps.with.registry-url=https://registry.npmjs.org:3; name=CI:2; on.release.types=created:2; jobs.publish.steps.run=npm publish:2; jobs.publish.steps.with.node-version=20.x:1; jobs.publish-docs.steps.uses=actions/checkout@v4:1
37,9,permissions.contents=read:5; on.push.branches=main:4; on.pull_request.types=opened:3; on.push.branches=master:3; on.pull_request.types=synchronize:3; jobs.test.steps.uses=actions/checkout@v4:2; permissions.contents=write:2; on.pull_request_target.types=reopened:2; on.pull_request_target.types=synchronize:2; on.pull_request.types=reopened:2
38,4,on.push.tags=v*:3; on.pull_request.branches=master:3; on=pull_request:3; on.push.branches=master:3; jobs.autofix.steps.with.node-version=lts/*:2; jobs.release.steps.env.VSCE_TOKEN=${{secrets.VSCE_TOKEN}}:2; jobs.autofix.steps.env.CYPRESS_INSTALL_BINARY=0:2; jobs.autofix.runs-on=ubuntu-latest:2; jobs.release.steps.env.GITHUB_TOKEN=${{secrets.GITHUB_TOKEN}}:2; jobs.release.steps.env.NODE_AUTH_TOKEN=${{secrets.NPM_TOKEN}}:2
39,3,jobs.build.runs-on=ubuntu-latest:3; jobs.build.steps.with.prerelease=false:3; jobs.build.steps.id=create_release:3; jobs.build.steps.uses=actions/checkout@v4:3; jobs.build.steps.uses=actions/setup-java@v4:3; jobs.build.steps.name=Create Release:3; on.push.tags=v*:3; jobs.build.steps.with.distribution=zulu:3; jobs.build.steps.with.tag_name=${{ github.ref }}:3; jobs.build.steps.uses=actions/create-release@v1:3
40,4,"on.issues.types=opened:4; on.issue_comment.types=created:4; jobs.claude.if=(github.event_name == 'issue_comment' && contains(github.event.comment.body, '@claude')) ||
(github.event_name == 'pull_request_review_comment' && contains(github.event.comment.body, '@claude')) ||
(github.event_name == 'pull_request_review' && contains(github.event.review.body, '@claude')) ||
(github.event_name == 'issues' && (contains(github.event.issue.body, '@claude') || contains(github.event.issue.title, '@claude')))
:4; jobs.claude.permissions.contents=read:4; jobs.claude.permissions.id-token=write:4; jobs.claude.permissions.issues=read:4; jobs.claude.permissions.pull-requests=read:4; jobs.claude.runs-on=ubuntu-latest:4; jobs.claude.steps.id=claude:4; jobs.claude.steps.name=Checkout repository:4"
41,9,on.issue_comment.types=created:8; on.pull_request_target.types=opened:8; on.pull_request_target.types=closed:8; on.pull_request_target.types=synchronize:8; jobs.CLAAssistant.runs-on=ubuntu-latest:6; jobs.CLAAssistant.steps.env.GITHUB_TOKEN=${{ secrets.GITHUB_TOKEN }}:6; jobs.CLAAssistant.steps.if=(github.event.comment.body == 'recheck' || github.event.comment.body == 'I have read the CLA Document and I hereby sign the CLA') || github.event_name == 'pull_request_target':6; permissions.actions=write:5; permissions.statuses=write:5; jobs.CLAAssistant.steps.with.path-to-signatures=signatures/version1/cla.json:5
42,6,jobs.build.runs-on=ubuntu-latest:4; jobs.build.steps.uses=actions/checkout@v3:3; on.pull_request.branches=master:2; on.push.branches=*:2; jobs.build.steps.uses=actions/checkout@v4:2; on.push.branches=master:2; jobs.build.steps.with.python-version=${{ matrix.python-version }}:1; jobs.run.steps.with.label=potential-duplicate:1; jobs.run.steps.with.state=all:1; jobs.run.steps.with.threshold=0.6:1
43,3,jobs.codespell.steps.uses=codespell-project/actions-codespell@v2:3; jobs.codespell.steps.uses=actions/checkout@v4:3; jobs.codespell.steps.name=Codespell:3; jobs.codespell.steps.name=Checkout:3; jobs.codespell.runs-on=ubuntu-latest:3; jobs.codespell.name=Check for spelling errors:3; permissions.contents=read:2; name=Codespell:2; on.pull_request.branches=master:2; on.push.branches=master:2
44,3,jobs.Firefox.runs-on=ubuntu-latest:2; jobs.Firefox.steps.uses=actions/checkout@v4:2; jobs.Chrome.runs-on=ubuntu-latest:2; jobs.Chrome.steps.uses=actions/checkout@v4:2; jobs.build.runs-on=ubuntu-latest:1; defaults.run.shell=bash:1; jobs.build.steps.name=Checkout:1; jobs.build.steps.name=Build:1; jobs.actionlint.steps.uses=actions/checkout@v4:1; on.pull_request.paths=.github/workflows/*.yml:1
