cluster_id,num_projects,top_options
-1,94,recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:40; recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:34; configurations.request=launch:30; version=0.2.0:28; editor.formatOnSave=True:25; typescript.tsdk=node_modules/typescript/lib:22; configurations.type=node:20; version=2.0.0:19; editor.defaultFormatter=esbenp.prettier-vscode:16; eslint.validate.eslint.validate/javascript=javascript:15
0,18,cSpell.words.cSpell.words/colspan=colspan:1; cSpell.words.cSpell.words/rowspan=rowspan:1
1,3,files.associations.cctype=cpp:3; files.associations.cstdint=cpp:3; files.associations.cstdio=cpp:3; files.associations.cstring=cpp:3; files.associations.ctime=cpp:3; files.associations.string=cpp:3; files.associations.streambuf=cpp:3; files.associations.stdexcept=cpp:3; files.associations.cwchar=cpp:3; files.associations.sstream=cpp:3
2,4,cSpell.words.cSpell.words/OPENAI=OPENAI:2; cSpell.words.cSpell.words/zustand=zustand:2; version=2.0.0:1; tasks.label=Build:1; tasks.group=build:1; cSpell.words.cSpell.words/echarts=echarts:1; cSpell.words.cSpell.words/hljs=hljs:1; cSpell.words.cSpell.words/shadcn=shadcn:1; cSpell.words.cSpell.words/uuidv=uuidv:1; configurations.request=launch:1
3,5,search.exclude.**/node_modules=True:2; editor.renderWhitespace=all:2; editor.formatOnSave=True:2; editor.codeActionsOnSave.source.fixAll.biome=explicit:1; scss.validate=False:1; git.enableSmartCommit=True:1; editor.tabSize=2:1; configurations.type=cppdbg:1; configurations.stopAtEntry=False:1; recommendations.recommendations/EditorConfig.EditorConfig=EditorConfig.EditorConfig:1
4,7,editor.formatOnSave=True:4; recommendations.recommendations/biomejs.biome=biomejs.biome:4; editor.codeActionsOnSave.source.organizeImports.biome=explicit:4; editor.defaultFormatter=biomejs.biome:4; [typescript].editor.defaultFormatter=biomejs.biome:4; editor.codeActionsOnSave.source.fixAll.biome=explicit:3; recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:3; [javascript].editor.defaultFormatter=biomejs.biome:3; [javascriptreact].editor.defaultFormatter=biomejs.biome:2; [typescriptreact].editor.defaultFormatter=biomejs.biome:2
5,3,files.exclude.**/.svn=True:3; files.exclude.**/.DS_Store=True:3; files.exclude.**/.git=True:3; files.exclude.**/CVS=True:3; files.exclude.**/Thumbs.db=True:3; files.exclude.**/.hg=True:3; files.exclude.**/.idea/=True:2; configurations.resolveSourceMapLocations.resolveSourceMapLocations/!**/node_modules/**=!**/node_modules/**:1; configurations.runtimeArgs.runtimeArgs/run=run:1; configurations.sourceMaps=True:1
6,4,recommendations.recommendations/ms-playwright.playwright=ms-playwright.playwright:2; recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:2; recommendations.recommendations/rust-lang.rust-analyzer=rust-lang.rust-analyzer:2; recommendations.recommendations/streetsidesoftware.code-spell-checker=streetsidesoftware.code-spell-checker:2; recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:2; eslint.probe.eslint.probe/jsonc=jsonc:1; recommendations.recommendations/unifiedjs.vscode-mdx=unifiedjs.vscode-mdx:1; eslint.probe.eslint.probe/json=json:1; eslint.probe.eslint.probe/vue=vue:1; eslint.validate.eslint.validate/javascript=javascript:1
7,5,configurations.request=launch:5; version=0.2.0:5; configurations.type=debugpy:3; configurations.cwd=${workspaceRoot}:2; recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:2; configurations.justMyCode=False:2; configurations.program=${file}:2; configurations.console=integratedTerminal:2; configurations.envFile=${workspaceFolder}/.env:2; configurations.cwd=${workspaceFolder}:1
8,9,configurations.request=launch:9; version=0.2.0:9; configurations.type=node:8; configurations.console=integratedTerminal:7; configurations.internalConsoleOptions=neverOpen:4; configurations.skipFiles.skipFiles/<node_internals>/**=<node_internals>/**:4; typescript.tsdk=node_modules/typescript/lib:3; configurations.runtimeArgs.runtimeArgs/${relativeFile}=${relativeFile}:2; configurations.runtimeArgs.runtimeArgs/${workspaceRoot}/node_modules/.bin/jest=${workspaceRoot}/node_modules/.bin/jest:2; configurations.runtimeArgs.runtimeArgs/--inspect-brk=--inspect-brk:2
9,4,version=0.2.0:4; configurations.request=launch:4; version=2.0.0:3; configurations.type=extensionHost:3; configurations.args.args/--extensionDevelopmentPath=${workspaceFolder}=--extensionDevelopmentPath=${workspaceFolder}:3; tasks.type=shell:3; configurations.name=Extension:2; configurations.runtimeExecutable=${execPath}:2; configurations.outFiles.outFiles/${workspaceFolder}/dist/**/*.js=${workspaceFolder}/dist/**/*.js:1; configurations.env.NODE_ENV=development:1
10,5,version=2.0.0:5; tasks.group.isDefault=True:5; tasks.group.kind=build:5; tasks.presentation.reveal=never:4; tasks.isBackground=True:4; tasks.type=npm:3; tasks.presentation.panel=dedicated:3; tasks.problemMatcher.problemMatcher/$go=$go:2; tasks.problemMatcher.problemMatcher/$tsc-watch=$tsc-watch:2; tasks.problemMatcher.background.activeOnStart=True:2
11,3,recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:3; typescript.tsdk=node_modules/typescript/lib:3; editor.defaultFormatter=esbenp.prettier-vscode:2; [javascript].editor.defaultFormatter=esbenp.prettier-vscode:2; eslint.validate.eslint.validate/typescript=typescript:2; [typescript].editor.defaultFormatter=esbenp.prettier-vscode:2; editor.formatOnSave=True:2; eslint.validate.eslint.validate/javascript=javascript:2; recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:2; editor.tabSize=2:1
12,12,recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:5; recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:5; editor.defaultFormatter=esbenp.prettier-vscode:3; typescript.tsdk=node_modules/typescript/lib:3; editor.formatOnSave=True:2; search.exclude.**/.yarn=True:2; recommendations.recommendations/bradlc.vscode-tailwindcss=bradlc.vscode-tailwindcss:2; recommendations.recommendations/svelte.svelte-vscode=svelte.svelte-vscode:2; eslint.validate.eslint.validate/javascript=javascript:2; eslint.validate.eslint.validate/typescript=typescript:2
13,5,recommendations.recommendations/Vue.volar=Vue.volar:5; recommendations.recommendations/Vue.vscode-typescript-vue-plugin=Vue.vscode-typescript-vue-plugin:2; recommendations.recommendations/svelte.svelte-vscode=svelte.svelte-vscode:2; recommendations.recommendations/rust-lang.rust-analyzer=rust-lang.rust-analyzer:1; recommendations.recommendations/tauri-apps.tauri-vscode=tauri-apps.tauri-vscode:1
14,6,typescript.tsdk=node_modules/typescript/lib:6; typescript.enablePromptUseWorkspaceTsdk=True:2; recommendations.recommendations/unifiedjs.vscode-mdx=unifiedjs.vscode-mdx:1; recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:1; recommendations.recommendations/formulahendry.auto-close-tag=formulahendry.auto-close-tag:1
15,5,editor.formatOnSave=True:5; recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:5; recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:4; editor.defaultFormatter=esbenp.prettier-vscode:3; editor.codeActionsOnSave.source.fixAll.eslint=explicit:3; editor.codeActionsOnSave.source.fixAll.stylelint=explicit:1; recommendations.recommendations/editorconfig.editorconfig=editorconfig.editorconfig:1; editor.tabSize=2:1; recommendations.recommendations/stylelint.vscode-stylelint=stylelint.vscode-stylelint:1; [rust].editor.defaultFormatter=rust-lang.rust-analyzer:1
16,7,recommendations.recommendations/dbaeumer.vscode-eslint=dbaeumer.vscode-eslint:6; recommendations.recommendations/esbenp.prettier-vscode=esbenp.prettier-vscode:6; prettier.configPath=.prettierrc:1; editor.formatOnSave=True:1; recommendations.recommendations/unifiedjs.vscode-mdx=unifiedjs.vscode-mdx:1; editor.defaultFormatter=esbenp.prettier-vscode:1; recommendations.recommendations/yzhang.markdown-all-in-one=yzhang.markdown-all-in-one:1; recommendations.recommendations/syler.sass-indented=syler.sass-indented:1; recommendations.recommendations/github.vscode-github-actions=github.vscode-github-actions:1; recommendations.recommendations/vitest.explorer=vitest.explorer:1
