Option,Concept,Values,Num_Values
ExecutableName,maven,"['target/mall-search-0.0.1-SNAPSHOT.jar', 'target/mall-admin.war', 'target/mall-demo-0.0.1-SNAPSHOT.jar', 'target/mall-admin-0.0.1-SNAPSHOT.jar', 'target/mall-mbg.jar', 'target/mall-monitor-1.0-SNAPSHOT.jar', 'target/mall-swarm-1.0-SNAPSHOT.pom', 'target/mall-gateway-0.0.1-SNAPSHOT.jar', 'target/mall-config-1.0-SNAPSHOT.jar', 'target/mall-security-1.0-SNAPSHOT.jar', 'target/mall-admin-1.0-SNAPSHOT.jar', 'target/mall-gateway-1.0-SNAPSHOT.jar', 'target/mall-portal-1.0-SNAPSHOT.jar', 'target/mall-1.0-SNAPSHOT.pom', 'target/mall-search-1.0-SNAPSHOT.jar', 'target/mall-common-1.0-SNAPSHOT.jar', 'target/mall-mbg-1.0-SNAPSHOT.jar', 'target/mall-auth-1.0-SNAPSHOT.jar', 'target/mall-monitor-0.0.1-SNAPSHOT.jar', 'target/mall-oauth-0.0.1-SNAPSHOT.jar', 'target/mall-portal-0.0.1-SNAPSHOT.jar', 'target/mall-demo-1.0-SNAPSHOT.jar', 'target/mall-registry-1.0-SNAPSHOT.jar', 'target/mall-config-0.0.1-SNAPSHOT.jar']",24
ExecutableNameNoVersion,maven,"['target/mall-monitor.jar', 'target/mall-gateway.jar', 'target/mall-config.jar', 'target/mall-swarm.pom', 'target/mall-auth.jar', 'target/mall-oauth.jar', 'target/mall-common.jar', 'target/mall-portal.jar', 'target/mall.pom', 'target/mall-search.jar', 'target/mall-demo.jar', 'target/mall-registry.jar', 'target/mall-mbg.jar', 'target/mall-admin.jar', 'target/mall-security.jar']",15
alipay.alipayPublicKey,yaml,['your alipayPublicKey'],1
alipay.appId,yaml,['your appId'],1
alipay.appPrivateKey,yaml,['your appPrivateKey'],1
alipay.gatewayUrl,yaml,['https://openapi-sandbox.dl.alipaydev.com/gateway.do'],1
alipay.returnUrl,yaml,"['http://192.168.3.101:8060/#/pages/money/paySuccess', 'http://localhost:8060/#/pages/money/paySuccess']",2
aliyun.oss.accessKeyId,yaml,['test'],1
aliyun.oss.accessKeySecret,yaml,['test'],1
aliyun.oss.accesskeyid,spring,['test'],1
aliyun.oss.accesskeysecret,spring,['test'],1
aliyun.oss.bucketName,yaml,['macro-oss'],1
aliyun.oss.bucketname,spring,['macro-oss'],1
aliyun.oss.callback,yaml,"['http://localhost:8080/aliyun/oss/callback', 'http://39.98.190.128:8080/aliyun/oss/callback']",2
aliyun.oss.dir.prefix,yaml,['mall/images/'],1
aliyun.oss.endpoint,yaml,['oss-cn-shenzhen.aliyuncs.com'],1
aliyun.oss.maxSize,yaml,['10'],1
aliyun.oss.maxsize,spring,['10'],1
aliyun.oss.policy.expire,yaml,['300'],1
apiVersion,yaml,"['v1', 'apps/v1']",2
authcode.expire.seconds,spring,['90'],1
distributionurl,configparser,['https://repo1.maven.org/maven2/org/apache/maven/apache-maven/3.5.3/apache-maven-3.5.3-bin.zip'],1
eureka.client.fetch-registry,spring,"['False', 'True']",2
eureka.client.register-with-eureka,spring,"['False', 'True']",2
eureka.client.registry-fetch-interval-seconds,spring,['10'],1
eureka.client.service-url.defaultZone,spring,"['http://localhost:8001/eureka/', 'http://mall-registry:8001/eureka/']",2
eureka.instance.hostname,spring,['localhost'],1
eureka.instance.prefer-ip-address,yaml,"['true', 'True']",2
eureka.server.enable-self-preservation,spring,['False'],1
feign.client.config.default.connectTimeout,spring,['5000'],1
feign.client.config.default.loggerLevel,spring,['basic'],1
feign.client.config.default.readTimeout,spring,['5000'],1
feign.okhttp.enabled,spring,['True'],1
host.mall.admin,spring,"['http://localhost:8080', 'http://mall-admin']",2
http.port,spring,['8085'],1
ignored.urls,spring,"['/swagger-ui.html, /swagger-resources/**, /swagger/**, /**/v2/api-docs, /**/*.js, /**/*.css, /**/*.png, /**/*.ico, /webjars/springfox-swagger-ui/**, /druid/**, /actuator/**, /sso/**, /home/**', '/swagger-ui.html, /swagger-resources/**, /swagger/**, /**/v2/api-docs, /**/*.js, /**/*.css, /**/*.png, /**/*.ico, /webjars/springfox-swagger-ui/**, /actuator/**, /druid/**, /admin/login, /admin/register']",2
info._postman_id,json,"['f4a4382c-ee6c-975f-99ac-7645532458ba', 'bb2ab4ed-fa53-9c01-9fe1-ef1568038701']",2
info.description,json,[''],1
info.name,json,"['mall-portal', 'mall-admin']",2
info.schema,json,['https://schema.getpostman.com/json/collection/v2.0.0/collection.json'],1
item.request.url.path.path/cancelOrder,json,['cancelOrder'],1
item.request.url.path.path/cart,json,['cart'],1
item.request.url.path.path/paySuccess,json,['paySuccess'],1
item.request.url.path.path/quantity,json,['quantity'],1
item.request.url.path.path/update,json,['update'],1
jdbc.connectionurl,configparser,"['jdbc:mysql://localhost:3306/mall?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai', 'jdbc:mysql://localhost:3306/mall']",2
jdbc.driverclass,configparser,"['com.mysql.cj.jdbc.Driver', 'com.mysql.jdbc.Driver']",2
jdbc.password,configparser,['root'],1
jdbc.userid,configparser,['root'],1
jwt.expiration,spring,['604800'],1
jwt.secret,spring,"['mall-portal-secret', 'mySecret', 'mall-admin-secret']",3
jwt.tokenHead,spring,['Bearer'],1
jwt.tokenHeader,spring,['Authorization'],1
jwt.tokenhead,spring,['Bearer'],1
jwt.tokenheader,spring,['Authorization'],1
kind,yaml,"['Service', 'Deployment']",2
logging.file.path,yaml,['/var/logs'],1
logging.level.com.macro.mall,yaml,"['info', 'debug']",2
logging.level.com.macro.mall.demo.service.FeignAdminService,yaml,['debug'],1
logging.level.com.macro.mall.mapper,yaml,['debug'],1
logging.level.com.macro.mall.portal.dao,yaml,['debug'],1
logging.level.org.springframework.cloud.gateway,spring,['debug'],1
logging.level.org.springframework.data.mongodb.core,yaml,['debug'],1
logging.level.root,yaml,"['info', 'debug', 'warn']",3
logging.path,spring,['/var/logs'],1
logstash.host,yaml,"['logstash', 'localhost']",2
mall-oauth-url,spring,['http://localhost:8201/mall-oauth'],1
management.endpoint.health.show-details,spring,['always'],1
management.endpoints.web.exposure.include,spring,['*'],1
management.health.elasticsearch.response-timeout,yaml,['1000ms'],1
metadata.labels.app,yaml,"['mall-monitor', 'mall-auth', 'mall-gateway', 'mall-search', 'mall-admin', 'mall-portal']",6
metadata.name,yaml,"['mall-admin-deployment', 'mall-portal-service', 'mall-monitor-deployment', 'mall-admin-service', 'mall-auth-service', 'mall-gateway-service', 'mall-portal-deployment', 'mall-monitor-service', 'mall-gateway-deployment', 'mall-auth-deployment', 'mall-search-deployment', 'mall-search-service']",12
metadata.namespace,yaml,['default'],1
minio.accessKey,yaml,['minioadmin'],1
minio.bucketName,yaml,['mall'],1
minio.endpoint,yaml,"['http://192.168.6.132:9090', 'http://localhost:9000', 'http://192.168.3.101:9090', 'http://locahost:9000']",4
minio.secretKey,yaml,['minioadmin'],1
mybatis.mapper-locations,spring,"['classpath:mapper/*.xml, classpath*:com/**/mapper/*.xml', 'classpath:dao/*.xml, classpath*:com/**/mapper/*.xml', 'classpath:dao/*.xml,classpath*:com/**/mapper/*.xml', 'classpath:mapper/*.xml,classpath*:com/**/mapper/*.xml']",4
project.artifactId,maven,"['mall-monitor', 'mall-auth', 'mall-mbg', 'mall-gateway', 'mall-security', 'mall', 'mall-search', 'mall-registry', 'mall-admin', 'mall-oauth', 'mall-config', 'mall-demo', 'mall-portal', 'mall-swarm', 'mall-common']",15
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.artifactId,maven,['docker-maven-plugin'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.baseImage,maven,['java:8'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.dockerHost,maven,['${docker.host}'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.entryPoint,maven,"['[""java"", ""-jar"", ""-Dspring.profiles.active=prod"",""/${project.build.finalName}.jar""]']",1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.imageName,maven,['mall/${project.artifactId}:${project.version}'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.resources.resource.directory,maven,['${project.build.directory}'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.resources.resource.include,maven,['${project.build.finalName}.jar'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.resources.resource.targetPath,maven,['/'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.executions.execution.goals.goal,maven,['build'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.executions.execution.id,maven,['build-image'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.executions.execution.phase,maven,['package'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.groupId,maven,['com.spotify'],1
project.build.pluginManagement.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.version,maven,['${docker.maven.plugin.version}'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.artifactId,maven,['docker-maven-plugin'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.dockerHost,maven,['${docker.host}'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.images.image.build.args.JAR_FILE,maven,['${project.build.finalName}.jar'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.images.image.build.assembly.descriptorRef,maven,['artifact'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.images.image.build.assembly.targetDir,maven,['/'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.images.image.build.entryPoint,maven,"['[""java"", ""-jar"",""-Dspring.profiles.active=prod"",""/${project.build.finalName}.jar""]']",1
